"Population by Mother tongue","Number"
"Bajjika",""
"Female","9833"
"Male","10686"
"Bhojpuri",""
"Female","44"
"Male","36"
"Hindi",""
"Female","71"
"Male","93"
"Hyolmo/Yholmo",""
"Female","85"
"Male","86"
"Limbu",""
"Female","7"
"Male","5"
"Magahi",""
"Female","13"
"Male","12"
"Maithili",""
"Female","7801"
"Male","8254"
"Nepali",""
"Female","472"
"Male","483"
"Newar",""
"Female","78"
"Male","67"
"Not Reported",""
"Female","178"
"Male","187"
"Others",""
"Female","26"
"Male","19"
"Rajsthani",""
"Female","60"
"Male","61"
"Urdu",""
"Female","4027"
"Male","3832"
