"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","9"
"Male","7"
"Brahman - Hill",""
"Female","1385"
"Male","1092"
"Brahmu/ Baramo",""
"Female","1429"
"Male","1191"
"Chhetri",""
"Female","1201"
"Male","916"
"Damai/Dholi",""
"Female","208"
"Male","153"
"Ghale",""
"Female","1161"
"Male","895"
"Gharti/Bhujel",""
"Female","51"
"Male","41"
"Gurung",""
"Female","5616"
"Male","4279"
"Kami",""
"Female","764"
"Male","640"
"Magar",""
"Female","762"
"Male","596"
"Musalman",""
"Female","20"
"Male","15"
"Newar",""
"Female","351"
"Male","279"
"Others",""
"Female","22"
"Male","19"
"Sanyasi/Dasnami",""
"Female","33"
"Male","24"
"Sarki",""
"Female","746"
"Male","527"
"Tamang",""
"Female","473"
"Male","385"
"Thakuri",""
"Female","55"
"Male","44"
