"Population by Five Years Age Group","Number"
"0-4",""
"Female","1164"
"Male","1202"
"10-14",""
"Female","1910"
"Male","1798"
"15-19",""
"Female","1590"
"Male","1229"
"20-24",""
"Female","1087"
"Male","449"
"25-29",""
"Female","903"
"Male","401"
"30-34",""
"Female","807"
"Male","371"
"35-39",""
"Female","755"
"Male","432"
"40-44",""
"Female","806"
"Male","506"
"45-49",""
"Female","728"
"Male","517"
"50-54",""
"Female","714"
"Male","579"
"55-59",""
"Female","542"
"Male","526"
"5-9",""
"Female","1489"
"Male","1417"
"60-64",""
"Female","538"
"Male","484"
"65-69",""
"Female","382"
"Male","323"
"70-74",""
"Female","336"
"Male","376"
"75+",""
"Female","535"
"Male","503"
