"Population by Caste Ethinicity","Number"
"Brahman - Hill",""
"Female","216"
"Male","189"
"","405"
"Chhetri",""
"Female","227"
"Male","150"
"","377"
"Damai/Dholi",""
"Female","222"
"Male","157"
"","379"
"Gharti/Bhujel",""
"Female","25"
"Male","21"
"","46"
"Kami",""
"Female","595"
"Male","474"
"","1069"
"Magar",""
"Female","10515"
"Male","8793"
"","19308"
"Musalman",""
"Female","39"
"Male","25"
"","64"
"Newar",""
"Female","147"
"Male","97"
"","244"
"Others",""
"Female","14"
"Male","12"
"","26"
"Sarki",""
"Female","146"
"Male","111"
"","257"
"Thakuri",""
"Female","250"
"Male","186"
"","436"
