"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","1026"
"Male","950"
"Brahman - Tarai",""
"Female","48"
"Male","44"
"Chhetri",""
"Female","1097"
"Male","1037"
"Damai/Dholi",""
"Female","416"
"Male","373"
"Gharti/Bhujel",""
"Female","192"
"Male","168"
"Kami",""
"Female","738"
"Male","681"
"Magar",""
"Female","1844"
"Male","1710"
"Majhi",""
"Female","135"
"Male","118"
"Newar",""
"Female","436"
"Male","408"
"Others",""
"Female","33"
"Male","31"
"Rai",""
"Female","476"
"Male","405"
"Sanyasi/Dasnami",""
"Female","46"
"Male","39"
"Sarki",""
"Female","491"
"Male","424"
"Sonar",""
"Female","27"
"Male","22"
"Sunuwar",""
"Female","1378"
"Male","1316"
"Tamang",""
"Female","442"
"Male","417"
