"Population by Five Years Age Group","Number"
"0-4",""
"Female","1091"
"Male","996"
"10-14",""
"Female","1241"
"Male","1356"
"15-19",""
"Female","1012"
"Male","835"
"20-24",""
"Female","712"
"Male","537"
"25-29",""
"Female","611"
"Male","457"
"30-34",""
"Female","478"
"Male","376"
"35-39",""
"Female","406"
"Male","405"
"40-44",""
"Female","400"
"Male","372"
"45-49",""
"Female","375"
"Male","359"
"50-54",""
"Female","314"
"Male","344"
"55-59",""
"Female","222"
"Male","236"
"5-9",""
"Female","1303"
"Male","1212"
"60-64",""
"Female","215"
"Male","224"
"65-69",""
"Female","154"
"Male","147"
"70-74",""
"Female","118"
"Male","119"
"75+",""
"Female","173"
"Male","168"
