"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","50"
"Cow Dung","5"
"Electricity Fuel","1"
"KeroseneFuel","57"
"LP Gas","121"
"Not Sated about Fuel","320"
"OthersFuel","10"
"Wood/FireWood","33209"
"Total","33773"
