"Agricultural land use area","Hectare"
"Area under arable land","10149.00"
"Area under meadows and pasture","121.00"
"Area under permanent crops","793.00"
"Area under Temporary crops","10013.00"
"Area under temporary fallow","97.00"
"Area under temporary meadows","39.00"
"Other land","587.00"
"Ponds","0.00"
"Woodland and forest","163.00"
"Total","21962.00"
