"Number of Households by Type of Roof","Number"
"Galvanized Iron Plate","1383"
"Mud Roof","13"
"Not Sated Roof","467"
"Other Type of Roof","244"
"RCC Roof","460"
"Thatch/Straw Roof","6329"
"Tile/Slate Roof","24863"
"Wood/Planks Roof","14"
"Total","33773"
