"Industries Types","Number"
"Accommodation and food","1609"
"Administrative and support service activity","38"
"Agriculture, forestry and fishing","253"
"Art, entertainment and recreation","13"
"Construction","18"
"Education","665"
"Electricty gas and water","4"
"Financial intermediation and insurance","186"
"Health and social work","193"
"Information and communications","24"
"Manufacturing","1195"
"Mining and quarrying","2"
"Other service activities","397"
"Professional,scientific and techniqual activity","78"
"Real state, renting and business activities","2"
"Transport and storage","55"
"Water supply, wet management","12"
"Wholesale and retail trade","7076"
"Total","11820"
