"Industries Employment","Number"
"Accommodation,  food",""
"Female","1826"
"Male","2094"
"Administrative, support service",""
"Female","14"
"Male","131"
"Agriculture, forestry and  fishing",""
"Female","181"
"Male","376"
"Arts, entertainment, recreation",""
"Female","2"
"Male","29"
"Construction",""
"Female","10"
"Male","85"
"Education",""
"Female","3002"
"Male","4378"
"Electricity, gas and water",""
"Female","9"
"Male","48"
"Financial intermediation and insurance",""
"Female","1546"
"Male","1560"
"Health, social work",""
"Female","569"
"Male","553"
"Information and communication",""
"Female","91"
"Male","289"
"Manufacturing",""
"Female","1053"
"Male","2482"
"Other service activities",""
"Female","640"
"Male","1097"
"Professional, scientific, techniqual activity",""
"Female","61"
"Male","157"
"Real estate, renting and business activity",""
"Female","1"
"Male","7"
"Transportation,  storage",""
"Female","50"
"Male","197"
"Water supply, wet management",""
"Female","8"
"Male","91"
"Wholesale, retail trade",""
"Female","6139"
"Male","7086"
