"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","455"
"Cow Dung","36"
"Electricity","262"
"Kerosene","81"
"LP Gas","2721"
"Not stated","57"
"Others","50"
"Wood/Firewood","15822"
"Total","19484"
