"Number of households by type of outer wall","Number"
"BambooWall","9865"
"Cement Bonded Bricks/Stone Wall","7126"
"Mud Bonded Bricks/Stone Wall","1343"
"Not stated","101"
"Others","40"
"Unbaked Bricks","27"
"Wood/Planks","982"
"Total","19484"
