"Population by Five Years Age Group","Number"
"0-4",""
"Female","663"
"Male","652"
"10-14",""
"Female","681"
"Male","634"
"15-19",""
"Female","527"
"Male","535"
"20-24",""
"Female","479"
"Male","400"
"25-29",""
"Female","414"
"Male","383"
"30-34",""
"Female","300"
"Male","298"
"35-39",""
"Female","283"
"Male","269"
"40-44",""
"Female","229"
"Male","239"
"45-49",""
"Female","180"
"Male","199"
"50-54",""
"Female","137"
"Male","167"
"55-59",""
"Female","97"
"Male","140"
"5-9",""
"Female","773"
"Male","731"
"60-64",""
"Female","142"
"Male","139"
"65-69",""
"Female","60"
"Male","62"
"70-74",""
"Female","20"
"Male","38"
"75+",""
"Female","18"
"Male","31"
