"Number of households by type of outer wall","Number"
"BambooWall","244"
"Cement Bonded Bricks/Stone Wall","4123"
"Mud Bonded Bricks/Stone Wall","1391"
"Not Stated about Wall","31"
"Other Type Wall","896"
"Unbaked Bricks","56"
"Wood/Planks","51"
"Total","6792"
