"Industries Types","Number"
"Accommodation and food","1334"
"Administrative and support service activity","172"
"Agriculture, forestry and fishing","176"
"Art, entertainment and recreation","11"
"Construction","9"
"Education","454"
"Electricty gas and water","2"
"Financial intermediation and insurance","103"
"Health and social work","187"
"Information and communications","12"
"Manufacturing","1275"
"Mining and quarrying","22"
"Other service activities","724"
"Professional,scientific and techniqual activity","72"
"Real state, renting and business activities","0"
"Transport and storage","16"
"Water supply, wet management","4"
"Wholesale and retail trade","9476"
"Total","14049"
