"Population by Caste/Ethinicity","Number"
"Bangali",""
"Female","186"
"Male","172"
"Brahman - Hill",""
"Female","978"
"Male","862"
"Chhetri",""
"Female","8059"
"Male","7564"
"Dalit Others",""
"Female","2085"
"Male","1881"
"Damai/Dholi",""
"Female","464"
"Male","459"
"Kami",""
"Female","697"
"Male","642"
"Lohar",""
"Female","229"
"Male","200"
"Magar",""
"Female","136"
"Male","141"
"Others",""
"Female","9"
"Male","9"
"Terai Others",""
"Female","13"
"Male","9"
"Thakuri",""
"Female","201"
"Male","170"
