"Population by Five Years Age Group","Number"
"0-4",""
"Female","1839"
"Male","1951"
"10-14",""
"Female","1892"
"Male","1823"
"15-19",""
"Female","1355"
"Male","1263"
"20-24",""
"Female","1019"
"Male","816"
"25-29",""
"Female","876"
"Male","722"
"30-34",""
"Female","785"
"Male","585"
"35-39",""
"Female","681"
"Male","558"
"40-44",""
"Female","585"
"Male","466"
"45-49",""
"Female","458"
"Male","424"
"50-54",""
"Female","341"
"Male","352"
"55-59",""
"Female","283"
"Male","295"
"5-9",""
"Female","1966"
"Male","1942"
"60-64",""
"Female","328"
"Male","292"
"65-69",""
"Female","263"
"Male","253"
"70-74",""
"Female","209"
"Male","203"
"75+",""
"Female","177"
"Male","170"
