"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","1590"
"Male","1423"
"Chamar/ Harijan/ Ram",""
"Female","9"
"Male","4"
"Chhetri",""
"Female","3121"
"Male","2874"
"Dalit Others",""
"Female","48"
"Male","53"
"Damai/Dholi",""
"Female","321"
"Male","309"
"Kami",""
"Female","621"
"Male","583"
"Limbu",""
"Female","15"
"Male","7"
"Lohar",""
"Female","109"
"Male","89"
"Magar",""
"Female","243"
"Male","207"
"Others",""
"Female","27"
"Male","14"
"Sanyasi/Dasnami",""
"Female","480"
"Male","450"
"Sarki",""
"Female","487"
"Male","455"
"Thakuri",""
"Female","330"
"Male","260"
