"Population by Five Years Age Group","Number"
"0-4",""
"Female","826"
"Male","836"
"10-14",""
"Female","1068"
"Male","1055"
"15-19",""
"Female","819"
"Male","735"
"20-24",""
"Female","642"
"Male","460"
"25-29",""
"Female","508"
"Male","395"
"30-34",""
"Female","444"
"Male","356"
"35-39",""
"Female","365"
"Male","341"
"40-44",""
"Female","333"
"Male","309"
"45-49",""
"Female","271"
"Male","252"
"50-54",""
"Female","264"
"Male","247"
"55-59",""
"Female","195"
"Male","208"
"5-9",""
"Female","1064"
"Male","1014"
"60-64",""
"Female","179"
"Male","193"
"65-69",""
"Female","166"
"Male","127"
"70-74",""
"Female","128"
"Male","98"
"75+",""
"Female","129"
"Male","105"
