"Population by Five Years Age Group","Number"
"0-4",""
"Female","3239"
"Male","3398"
"10-14",""
"Female","3341"
"Male","3418"
"15-19",""
"Female","2009"
"Male","2627"
"20-24",""
"Female","1934"
"Male","1890"
"25-29",""
"Female","1973"
"Male","1846"
"30-34",""
"Female","1934"
"Male","1694"
"35-39",""
"Female","1603"
"Male","1703"
"40-44",""
"Female","1256"
"Male","1429"
"45-49",""
"Female","940"
"Male","1150"
"50-54",""
"Female","771"
"Male","826"
"55-59",""
"Female","684"
"Male","739"
"5-9",""
"Female","3893"
"Male","4085"
"60-64",""
"Female","740"
"Male","671"
"65-69",""
"Female","562"
"Male","617"
"70-74",""
"Female","376"
"Male","428"
"75+",""
"Female","263"
"Male","357"
