"Number of households by type of outer wall","Number"
"BambooWall","2601"
"Cement Bonded Bricks/Stone Wall","623"
"Mud Bonded Bricks/Stone Wall","308"
"Not stated","42"
"Others","56"
"Unbaked Bricks","5"
"Wood/Planks","26"
"Total","3661"
