"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","35"
"Male","30"
"Brahman - Hill",""
"Female","3206"
"Male","2443"
"Chhetri",""
"Female","3629"
"Male","2667"
"Damai/Dholi",""
"Female","444"
"Male","345"
"Gaine",""
"Female","38"
"Male","30"
"Gharti/Bhujel",""
"Female","320"
"Male","225"
"Gurung",""
"Female","4"
"Male","8"
"Kami",""
"Female","1875"
"Male","1406"
"Khawas",""
"Female","20"
"Male","18"
"Kumal",""
"Female","149"
"Male","132"
"Magar",""
"Female","1459"
"Male","1041"
"Newar",""
"Female","153"
"Male","124"
"Others",""
"Female","18"
"Male","17"
"Sanyasi/Dasnami",""
"Female","360"
"Male","257"
"Sarki",""
"Female","947"
"Male","715"
"Sunuwar",""
"Female","74"
"Male","60"
"Thakuri",""
"Female","109"
"Male","75"
"Yakkha",""
"Female","7"
"Male","14"
