"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","922"
"Cow Dung","141"
"Electricity","19"
"Kerosene","135"
"LP Gas","2608"
"Not stated","172"
"Others","26"
"Wood/Firewood","17647"
"Total","21670"
