"Population by Mother tongue","Number"
"Bangla",""
"Female","6"
"Male","11"
"Bhojpuri",""
"Female","21651"
"Male","23217"
"Chepang",""
"Female","14"
"Male","19"
"Danuwar",""
"Female","79"
"Male","64"
"Ghale",""
"Female","59"
"Male","60"
"Gurung",""
"Female","198"
"Male","179"
"Hindi",""
"Female","111"
"Male","185"
"Limbu",""
"Female","26"
"Male","18"
"Magar",""
"Female","1002"
"Male","1016"
"Maithili",""
"Female","1082"
"Male","1230"
"Nepali",""
"Female","17886"
"Male","16939"
"Newar",""
"Female","633"
"Male","609"
"Not Reported",""
"Female","108"
"Male","107"
"Others",""
"Female","44"
"Male","36"
"Rai",""
"Female","95"
"Male","94"
"Rajsthani",""
"Female","5"
"Male","8"
"Sanskrit",""
"Female","7"
"Male","7"
"Sherpa",""
"Female","10"
"Male","5"
"Sunuwar",""
"Female","17"
"Male","11"
"Tamang",""
"Female","5883"
"Male","5455"
"Tharu",""
"Female","8111"
"Male","8135"
"Uranw/Urau",""
"Female","365"
"Male","349"
"Urdu",""
"Female","948"
"Male","952"
"Yakkha",""
"Female","29"
"Male","19"
