"Agricultural land use area","Hectare"
"Area under arable land","22917.36"
"Area under meadows and pasture","110.08"
"Area under permanent crops","4395.69"
"Area under Temporary crops","22196.86"
"Area under temporary fallow","647.79"
"Area under temporary meadows","72.71"
"Other land","949.91"
"Ponds","4.78"
"Woodland and forest","577.73"
