"Population by Caste/Ethinicity","Number"
"#VALUE!",""
"Female","244"
"Male","211"
"Badi",""
"Female","38"
"Male","25"
"Bahing",""
"Female","23"
"Male","20"
"Bantaba",""
"Female","21"
"Male","26"
"Bhote",""
"Female","1800"
"Male","1678"
"Bote",""
"Female","16"
"Male","16"
"Brahman - Hill",""
"Female","4510"
"Male","3892"
"Chamling",""
"Female","168"
"Male","146"
"Chhetri",""
"Female","15412"
"Male","13531"
"Dalit Others",""
"Female","22"
"Male","15"
"Damai/Dholi",""
"Female","1895"
"Male","1578"
"Dhandi",""
"Female","12"
"Male","8"
"Ghale",""
"Female","14"
"Male","17"
"Gharti/Bhujel",""
"Female","461"
"Male","383"
"Gurung",""
"Female","4619"
"Male","3990"
"Hajam/Thakur",""
"Female","14"
"Male","20"
"Kami",""
"Female","4059"
"Male","3460"
"Kathabaniyan",""
"Female","10"
"Male","8"
"Kayastha",""
"Female","94"
"Male","106"
"Khawas",""
"Female","11"
"Male","10"
"Kulung",""
"Female","5012"
"Male","4742"
"Kumal",""
"Female","494"
"Male","398"
"Lhomi",""
"Female","456"
"Male","412"
"Limbu",""
"Female","4592"
"Male","4080"
"Loharung",""
"Female","480"
"Male","474"
"Magar",""
"Female","2789"
"Male","2479"
"Majhi",""
"Female","86"
"Male","77"
"Mali",""
"Female","9"
"Male","8"
"Marwadi",""
"Female","45"
"Male","38"
"Mewahang Bala",""
"Female","1170"
"Male","1091"
"Musalman",""
"Female","8"
"Male","16"
"Nachhiring",""
"Female","93"
"Male","81"
"Newar",""
"Female","3933"
"Male","3544"
"Others",""
"Female","286"
"Male","316"
"Pattharkatta/ Kushwadiya",""
"Female","17"
"Male","8"
"Rai",""
"Female","8814"
"Male","8076"
"Samgpang",""
"Female","33"
"Male","42"
"Sanyasi/Dasnami",""
"Female","556"
"Male","490"
"Sarki",""
"Female","1100"
"Male","907"
"Sherpa",""
"Female","4792"
"Male","4462"
"Sunuwar",""
"Female","22"
"Male","21"
"Tamang",""
"Female","8691"
"Male","7860"
"Terai Others",""
"Female","12"
"Male","9"
"Thakuri",""
"Female","43"
"Male","39"
"Tharu",""
"Female","18"
"Male","55"
"Thulung",""
"Female","316"
"Male","331"
"Topkegola",""
"Female","32"
"Male","37"
"Undefined Others",""
"Female","91"
"Male","70"
"Yadav",""
"Female","21"
"Male","34"
"Yakkha",""
"Female","3873"
"Male","3306"
"Yamphu",""
"Female","2178"
"Male","2074"
