"Number of households by type of outer wall","Number"
"BambooWall","7629"
"Cement Bonded Bricks/Stone Wall","403"
"Mud Bonded Bricks/Stone Wall","24860"
"Not stated","188"
"Others","593"
"Unbaked Bricks","52"
"Wood/Planks","890"
"Total","34615"
