"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","69"
"Cow Dung","1"
"Electricity","29"
"Kerosene","181"
"LP Gas","1431"
"Not stated","139"
"Others","12"
"Wood/Firewood","32753"
"Total","34615"
