"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","16"
"Male","16"
"Brahman - Hill",""
"Female","2152"
"Male","1713"
"Chhetri",""
"Female","1994"
"Male","1537"
"Dalit Others",""
"Female","7"
"Male","8"
"Damai/Dholi",""
"Female","347"
"Male","246"
"Gharti/Bhujel",""
"Female","46"
"Male","26"
"Kami",""
"Female","1079"
"Male","766"
"Kumal",""
"Female","886"
"Male","711"
"Magar",""
"Female","7326"
"Male","5900"
"Musalman",""
"Female","8"
"Male","6"
"Newar",""
"Female","220"
"Male","183"
"Others",""
"Female","26"
"Male","19"
"Sanyasi/Dasnami",""
"Female","17"
"Male","17"
"Sarki",""
"Female","686"
"Male","511"
