"Population by Five Years Age Group","Number"
"0-4",""
"Female","1348"
"Male","1429"
"10-14",""
"Female","1923"
"Male","2012"
"15-19",""
"Female","1794"
"Male","1326"
"20-24",""
"Female","1324"
"Male","635"
"25-29",""
"Female","1068"
"Male","499"
"30-34",""
"Female","856"
"Male","416"
"35-39",""
"Female","856"
"Male","454"
"40-44",""
"Female","803"
"Male","524"
"45-49",""
"Female","728"
"Male","497"
"50-54",""
"Female","612"
"Male","535"
"55-59",""
"Female","508"
"Male","417"
"5-9",""
"Female","1559"
"Male","1548"
"60-64",""
"Female","549"
"Male","421"
"65-69",""
"Female","327"
"Male","357"
"70-74",""
"Female","228"
"Male","240"
"75+",""
"Female","327"
"Male","349"
