"Industries Employment","Number"
"Accommodation,  food",""
"Female","1032"
"Male","1610"
"Administrative, support service",""
"Female","4"
"Male","195"
"Agriculture, forestry and  fishing",""
"Female","238"
"Male","579"
"Arts, entertainment, recreation",""
"Female","5"
"Male","187"
"Construction",""
"Female","39"
"Male","99"
"Education",""
"Female","2267"
"Male","4111"
"Electricity, gas and water",""
"Female","3"
"Male","14"
"Financial intermediation and insurance",""
"Female","163"
"Male","409"
"Health, social work",""
"Female","924"
"Male","887"
"Information and communication",""
"Female","133"
"Male","449"
"Manufacturing",""
"Female","2271"
"Male","6707"
"Other service activities",""
"Female","542"
"Male","2419"
"Professional, scientific, techniqual activity",""
"Female","19"
"Male","212"
"Real estate, renting and business activity",""
"Female","1"
"Male","0"
"Transportation,  storage",""
"Female","20"
"Male","143"
"Water supply, wet management",""
"Female","6"
"Male","38"
"Wholesale, retail trade",""
"Female","5983"
"Male","10535"
