"Industries Types","Number"
"Accommodation and food","1321"
"Administrative and support service activity","72"
"Agriculture, forestry and fishing","180"
"Art, entertainment and recreation","55"
"Construction","39"
"Education","637"
"Electricty gas and water","2"
"Financial intermediation and insurance","133"
"Health and social work","327"
"Information and communications","16"
"Manufacturing","1923"
"Mining and quarrying","2"
"Other service activities","1728"
"Professional,scientific and techniqual activity","173"
"Real state, renting and business activities","1"
"Transport and storage","43"
"Water supply, wet management","10"
"Wholesale and retail trade","9633"
"Total","16295"
