"Population by Five Years Age Group","Number"
"0-4",""
"Female","1060"
"Male","1033"
"10-14",""
"Female","1309"
"Male","1360"
"15-19",""
"Female","1051"
"Male","952"
"20-24",""
"Female","917"
"Male","805"
"25-29",""
"Female","999"
"Male","854"
"30-34",""
"Female","801"
"Male","712"
"35-39",""
"Female","763"
"Male","734"
"40-44",""
"Female","621"
"Male","602"
"45-49",""
"Female","464"
"Male","555"
"50-54",""
"Female","419"
"Male","466"
"55-59",""
"Female","428"
"Male","433"
"5-9",""
"Female","1402"
"Male","1467"
"60-64",""
"Female","383"
"Male","373"
"65-69",""
"Female","210"
"Male","255"
"70-74",""
"Female","119"
"Male","187"
"75+",""
"Female","151"
"Male","152"
