"Population by Caste Ethinicity","Number"
"Bahing",""
"Female","8"
"Male","9"
"","17"
"Bantaba",""
"Female","82"
"Male","52"
"","134"
"Brahman - Hill",""
"Female","2044"
"Male","1661"
"","3705"
"Chamling",""
"Female","44"
"Male","32"
"","76"
"Chhetri",""
"Female","5011"
"Male","4217"
"","9228"
"Damai/Dholi",""
"Female","535"
"Male","432"
"","967"
"Dhanuk",""
"Female","8"
"Male","9"
"","17"
"Dhimal",""
"Female","27"
"Male","25"
"","52"
"Dom",""
"Female","11"
"Male","11"
"","22"
"Dusadh/ Pasawan/ Pasi",""
"Female","11"
"Male","12"
"","23"
"Gaderi/Bhedihar",""
"Female","16"
"Male","16"
"","32"
"Gharti/Bhujel",""
"Female","194"
"Male","168"
"","362"
"Gurung",""
"Female","23"
"Male","38"
"","61"
"Hajam/Thakur",""
"Female","28"
"Male","35"
"","63"
"Halwai",""
"Female","39"
"Male","39"
"","78"
"Jhangad/ Dhagar",""
"Female","34"
"Male","22"
"","56"
"Kami",""
"Female","1553"
"Male","1335"
"","2888"
"Kewat",""
"Female","10"
"Male","4"
"","14"
"Khaling",""
"Female","10"
"Male","6"
"","16"
"Koiri/Kushwaha",""
"Female","44"
"Male","39"
"","83"
"Kumal",""
"Female","9"
"Male","10"
"","19"
"Limbu",""
"Female","73"
"Male","56"
"","129"
"Magar",""
"Female","1358"
"Male","1202"
"","2560"
"Majhi",""
"Female","638"
"Male","561"
"","1199"
"Musahar",""
"Female","68"
"Male","65"
"","133"
"Musalman",""
"Female","26"
"Male","15"
"","41"
"Newar",""
"Female","669"
"Male","559"
"","1228"
"Others",""
"Female","22"
"Male","20"
"","42"
"Pahari",""
"Female","10"
"Male","7"
"","17"
"Rai",""
"Female","6336"
"Male","5669"
"","12005"
"Samgpang",""
"Female","9"
"Male","10"
"","19"
"Sanyasi/Dasnami",""
"Female","149"
"Male","123"
"","272"
"Sarki",""
"Female","455"
"Male","400"
"","855"
"Sherpa",""
"Female","10"
"Male","10"
"","20"
"Sunuwar",""
"Female","6"
"Male","6"
"","12"
"Tamang",""
"Female","969"
"Male","814"
"","1783"
"Teli",""
"Female","103"
"Male","98"
"","201"
"Terai Others",""
"Female","20"
"Male","16"
"","36"
"Thakuri",""
"Female","19"
"Male","12"
"","31"
"Thami",""
"Female","59"
"Male","47"
"","106"
"Tharu",""
"Female","2010"
"Male","1695"
"","3705"
"Thulung",""
"Female","8"
"Male","5"
"","13"
"Yadav",""
"Female","23"
"Male","43"
"","66"
