"Population by Religion","Number"
"Bahai","5"
"Bon","1"
"Buddism","3086"
"Christianity","1604"
"Hindu","30224"
"Islam","42"
"Jainism","0"
"Kirat","7379"
"Prakriti","88"
"Sikhism","0"
"Undefined","21"
"Total","42450"
