"Population by Five Years Age Group","Number"
"0-4",""
"Female","38708"
"Male","39780"
"10-14",""
"Female","43994"
"Male","47235"
"15-19",""
"Female","30906"
"Male","35660"
"20-24",""
"Female","28384"
"Male","26319"
"25-29",""
"Female","27100"
"Male","26177"
"30-34",""
"Female","24368"
"Male","22488"
"35-39",""
"Female","21010"
"Male","21822"
"40-44",""
"Female","16844"
"Male","18157"
"45-49",""
"Female","13486"
"Male","15259"
"50-54",""
"Female","10611"
"Male","11741"
"55-59",""
"Female","9379"
"Male","9714"
"5-9",""
"Female","48692"
"Male","51588"
"60-64",""
"Female","8719"
"Male","9334"
"65-69",""
"Female","6583"
"Male","7057"
"70-74",""
"Female","4265"
"Male","4945"
"75+",""
"Female","3415"
"Male","3968"
