"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","2033"
"Cow Dung","24841"
"Electricity","37"
"Kerosene","1047"
"LP Gas","5117"
"Not stated","1165"
"Others","1350"
"Wood/Firewood","73010"
"Total","108600"
