"Agricultural land use area","Hectare"
"Area under arable land","53838.07"
"Area under meadows and pasture","175.27"
"Area under permanent crops","648.58"
"Area under Temporary crops","53584.26"
"Area under temporary fallow","205.92"
"Area under temporary meadows","47.89"
"Other land","1757.90"
"Ponds","340.35"
"Woodland and forest","106.54"
