"Agricultural land use area","Hectare"
"Area under arable land","18358.00"
"Area under meadows and pasture","3799.00"
"Area under permanent crops","4836.00"
"Area under Temporary crops","17834.00"
"Area under temporary fallow","378.00"
"Area under temporary meadows","145.00"
"Other land","1371.00"
"Ponds","2.00"
"Woodland and forest","2322.00"
"Total","49045.00"
