"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","109"
"Cow Dung","19"
"Electricity Fuel","2"
"KeroseneFuel","183"
"LP Gas","6425"
"Not Sated about Fuel","299"
"OthersFuel","11"
"Wood/FireWood","54434"
"Total","61482"
