"Population by Five Years Age Group","Number"
"0-4",""
"Female","2195"
"Male","2261"
"10-14",""
"Female","2728"
"Male","2612"
"15-19",""
"Female","2148"
"Male","1944"
"20-24",""
"Female","1715"
"Male","1364"
"25-29",""
"Female","1450"
"Male","1154"
"30-34",""
"Female","1089"
"Male","941"
"35-39",""
"Female","1073"
"Male","941"
"40-44",""
"Female","806"
"Male","765"
"45-49",""
"Female","697"
"Male","629"
"50-54",""
"Female","577"
"Male","638"
"55-59",""
"Female","466"
"Male","494"
"5-9",""
"Female","2636"
"Male","2640"
"60-64",""
"Female","457"
"Male","442"
"65-69",""
"Female","309"
"Male","299"
"70-74",""
"Female","168"
"Male","186"
"75+",""
"Female","156"
"Male","155"
