"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","681"
"Cow Dung","7"
"Electricity Fuel","8"
"KeroseneFuel","26"
"LP Gas","1037"
"Not Sated about Fuel","50"
"OthersFuel","24"
"Wood/FireWood","10110"
"Total","11943"
