"Number of households by type of outer wall","Number"
"BambooWall","1796"
"Cement Bonded Bricks/Stone Wall","4146"
"Mud Bonded Bricks/Stone Wall","3085"
"Not Stated about Wall","62"
"Other Type Wall","799"
"Unbaked Bricks","622"
"Wood/Planks","1433"
"Total","11943"
