"Population by Mother tongue","Number"
"Bangla",""
"Female","5"
"Male","8"
"Bhojpuri",""
"Female","81"
"Male","237"
"Danuwar",""
"Female","4"
"Male","19"
"Gurung",""
"Female","48"
"Male","50"
"Hindi",""
"Female","42"
"Male","115"
"Limbu",""
"Female","17"
"Male","27"
"Magar",""
"Female","86"
"Male","104"
"Maithili",""
"Female","127"
"Male","213"
"Majhi",""
"Female","6"
"Male","7"
"Nepali",""
"Female","16297"
"Male","15413"
"Newar",""
"Female","8724"
"Male","8311"
"Not Reported",""
"Female","34"
"Male","41"
"Others",""
"Female","27"
"Male","30"
"Rai",""
"Female","44"
"Male","44"
"Rajsthani",""
"Female","10"
"Male","13"
"Sherpa",""
"Female","7"
"Male","5"
"Sunuwar",""
"Female","9"
"Male","14"
"Tamang",""
"Female","2733"
"Male","2619"
"Tharu",""
"Female","20"
"Male","23"
"Urdu",""
"Female","2"
"Male","12"
