"Agricultural land use area","Hectare"
"Area under arable land","19803.00"
"Area under meadows and pasture","125.00"
"Area under permanent crops","4268.00"
"Area under Temporary crops","19039.00"
"Area under temporary fallow","681.00"
"Area under temporary meadows","82.00"
"Other land","875.00"
"Ponds","0.00"
"Woodland and forest","3476.00"
"Total","48349.00"
