"Population by Five Years Age Group","Number"
"0-4",""
"Female","460"
"Male","467"
"10-14",""
"Female","643"
"Male","666"
"15-19",""
"Female","655"
"Male","552"
"20-24",""
"Female","435"
"Male","258"
"25-29",""
"Female","441"
"Male","163"
"30-34",""
"Female","296"
"Male","153"
"35-39",""
"Female","295"
"Male","177"
"40-44",""
"Female","313"
"Male","193"
"45-49",""
"Female","259"
"Male","196"
"50-54",""
"Female","229"
"Male","181"
"55-59",""
"Female","244"
"Male","176"
"5-9",""
"Female","522"
"Male","531"
"60-64",""
"Female","230"
"Male","193"
"65-69",""
"Female","178"
"Male","155"
"70-74",""
"Female","111"
"Male","136"
"75+",""
"Female","155"
"Male","195"
