"Population by Single Year of Age","Number"
"0",""
"Female","87"
"Male","90"
"1",""
"Female","59"
"Male","95"
"10",""
"Female","117"
"Male","118"
"11",""
"Female","121"
"Male","132"
"12",""
"Female","137"
"Male","162"
"13",""
"Female","138"
"Male","115"
"14",""
"Female","130"
"Male","139"
"15",""
"Female","145"
"Male","142"
"16",""
"Female","139"
"Male","119"
"17",""
"Female","128"
"Male","114"
"18",""
"Female","124"
"Male","89"
"19",""
"Female","119"
"Male","88"
"2",""
"Female","106"
"Male","85"
"20",""
"Female","101"
"Male","63"
"21",""
"Female","78"
"Male","52"
"22",""
"Female","97"
"Male","51"
"23",""
"Female","80"
"Male","51"
"24",""
"Female","79"
"Male","41"
"25",""
"Female","102"
"Male","34"
"26",""
"Female","116"
"Male","28"
"27",""
"Female","98"
"Male","22"
"28",""
"Female","79"
"Male","48"
"29",""
"Female","46"
"Male","31"
"3",""
"Female","94"
"Male","99"
"30",""
"Female","92"
"Male","46"
"31",""
"Female","38"
"Male","23"
"32",""
"Female","64"
"Male","40"
"33",""
"Female","48"
"Male","25"
"34",""
"Female","54"
"Male","19"
"35",""
"Female","93"
"Male","49"
"36",""
"Female","58"
"Male","38"
"37",""
"Female","42"
"Male","27"
"38",""
"Female","56"
"Male","30"
"39",""
"Female","46"
"Male","33"
"4",""
"Female","114"
"Male","98"
"40",""
"Female","102"
"Male","41"
"41",""
"Female","55"
"Male","39"
"42",""
"Female","62"
"Male","45"
"43",""
"Female","41"
"Male","31"
"44",""
"Female","53"
"Male","37"
"45",""
"Female","82"
"Male","48"
"46",""
"Female","46"
"Male","33"
"47",""
"Female","44"
"Male","33"
"48",""
"Female","53"
"Male","44"
"49",""
"Female","34"
"Male","38"
"5",""
"Female","97"
"Male","101"
"50",""
"Female","63"
"Male","53"
"51",""
"Female","37"
"Male","36"
"52",""
"Female","52"
"Male","37"
"53",""
"Female","32"
"Male","22"
"54",""
"Female","45"
"Male","33"
"55",""
"Female","62"
"Male","51"
"56",""
"Female","44"
"Male","44"
"57",""
"Female","44"
"Male","35"
"58",""
"Female","53"
"Male","22"
"59",""
"Female","41"
"Male","24"
"6",""
"Female","73"
"Male","94"
"60",""
"Female","81"
"Male","54"
"61",""
"Female","42"
"Male","29"
"62",""
"Female","30"
"Male","49"
"63",""
"Female","44"
"Male","33"
"64",""
"Female","33"
"Male","28"
"65",""
"Female","50"
"Male","40"
"66",""
"Female","30"
"Male","25"
"67",""
"Female","36"
"Male","40"
"68",""
"Female","44"
"Male","34"
"69",""
"Female","18"
"Male","16"
"7",""
"Female","117"
"Male","116"
"70",""
"Female","51"
"Male","43"
"71",""
"Female","10"
"Male","15"
"72",""
"Female","18"
"Male","32"
"73",""
"Female","15"
"Male","24"
"74",""
"Female","17"
"Male","22"
"75",""
"Female","26"
"Male","20"
"76",""
"Female","10"
"Male","26"
"77",""
"Female","13"
"Male","12"
"78",""
"Female","12"
"Male","24"
"79",""
"Female","12"
"Male","13"
"8",""
"Female","97"
"Male","111"
"80",""
"Female","17"
"Male","16"
"81",""
"Female","7"
"Male","9"
"82",""
"Female","9"
"Male","12"
"83",""
"Female","6"
"Male","15"
"84",""
"Female","12"
"Male","10"
"85",""
"Female","31"
"Male","38"
"9",""
"Female","138"
"Male","109"
