"Number of households by type of outer wall","Number"
"BambooWall","5210"
"Cement Bonded Bricks/Stone Wall","151"
"Mud Bonded Bricks/Stone Wall","266"
"Not stated","21"
"Others","165"
"Unbaked Bricks","1"
"Wood/Planks","3116"
"Total","8930"
