"Population by Five Years Age Group","Number"
"0-4",""
"Female","2229"
"Male","2277"
"10-14",""
"Female","2315"
"Male","2346"
"15-19",""
"Female","1829"
"Male","1304"
"20-24",""
"Female","1652"
"Male","715"
"25-29",""
"Female","1378"
"Male","596"
"30-34",""
"Female","1096"
"Male","527"
"35-39",""
"Female","1026"
"Male","551"
"40-44",""
"Female","835"
"Male","535"
"45-49",""
"Female","750"
"Male","456"
"50-54",""
"Female","696"
"Male","531"
"55-59",""
"Female","540"
"Male","500"
"5-9",""
"Female","2290"
"Male","2380"
"60-64",""
"Female","695"
"Male","406"
"65-69",""
"Female","505"
"Male","322"
"70-74",""
"Female","302"
"Male","219"
"75+",""
"Female","336"
"Male","187"
