"Population by Caste Ethinicity","Number"
"Badi",""
"Female","9"
"Male","9"
"","18"
"Bhote",""
"Female","11"
"Male","9"
"","20"
"Brahman - Hill",""
"Female","340"
"Male","296"
"","636"
"Chhetri",""
"Female","3961"
"Male","3691"
"","7652"
"Dalit Others",""
"Female","79"
"Male","61"
"","140"
"Damai/Dholi",""
"Female","176"
"Male","140"
"","316"
"Foreigner",""
"Female","7"
"Male","6"
"","13"
"Kami",""
"Female","564"
"Male","557"
"","1121"
"Magar",""
"Female","6"
"Male","6"
"","12"
"Newar",""
"Female","10"
"Male","10"
"","20"
"Others",""
"Female","11"
"Male","7"
"","18"
"Rajput",""
"Female","6"
"Male","5"
"","11"
"Sarki",""
"Female","149"
"Male","143"
"","292"
"Tamang",""
"Female","14"
"Male","16"
"","30"
"Terai Others",""
"Female","10"
"Male","8"
"","18"
"Thakuri",""
"Female","663"
"Male","577"
"","1240"
