"Population by Single Year of Age","Number"
"0",""
"Female","666"
"Male","726"
"1",""
"Female","585"
"Male","660"
"10",""
"Female","937"
"Male","1052"
"11",""
"Female","843"
"Male","829"
"12",""
"Female","973"
"Male","1091"
"13",""
"Female","971"
"Male","1021"
"14",""
"Female","1042"
"Male","1059"
"15",""
"Female","931"
"Male","907"
"16",""
"Female","1001"
"Male","975"
"17",""
"Female","920"
"Male","913"
"18",""
"Female","1059"
"Male","1026"
"19",""
"Female","728"
"Male","693"
"2",""
"Female","655"
"Male","672"
"20",""
"Female","1051"
"Male","862"
"21",""
"Female","705"
"Male","658"
"22",""
"Female","1069"
"Male","732"
"23",""
"Female","834"
"Male","566"
"24",""
"Female","812"
"Male","619"
"25",""
"Female","1127"
"Male","732"
"26",""
"Female","884"
"Male","616"
"27",""
"Female","784"
"Male","534"
"28",""
"Female","958"
"Male","739"
"29",""
"Female","529"
"Male","384"
"3",""
"Female","655"
"Male","694"
"30",""
"Female","1306"
"Male","917"
"31",""
"Female","473"
"Male","392"
"32",""
"Female","826"
"Male","702"
"33",""
"Female","560"
"Male","467"
"34",""
"Female","563"
"Male","524"
"35",""
"Female","1321"
"Male","1062"
"36",""
"Female","599"
"Male","575"
"37",""
"Female","374"
"Male","378"
"38",""
"Female","591"
"Male","604"
"39",""
"Female","353"
"Male","393"
"4",""
"Female","735"
"Male","731"
"40",""
"Female","1040"
"Male","1041"
"41",""
"Female","307"
"Male","343"
"42",""
"Female","441"
"Male","532"
"43",""
"Female","304"
"Male","337"
"44",""
"Female","294"
"Male","312"
"45",""
"Female","720"
"Male","741"
"46",""
"Female","320"
"Male","344"
"47",""
"Female","238"
"Male","271"
"48",""
"Female","336"
"Male","390"
"49",""
"Female","202"
"Male","238"
"5",""
"Female","781"
"Male","846"
"50",""
"Female","630"
"Male","683"
"51",""
"Female","230"
"Male","229"
"52",""
"Female","327"
"Male","319"
"53",""
"Female","242"
"Male","222"
"54",""
"Female","188"
"Male","226"
"55",""
"Female","417"
"Male","438"
"56",""
"Female","227"
"Male","237"
"57",""
"Female","170"
"Male","170"
"58",""
"Female","206"
"Male","229"
"59",""
"Female","143"
"Male","143"
"6",""
"Female","775"
"Male","862"
"60",""
"Female","455"
"Male","483"
"61",""
"Female","161"
"Male","168"
"62",""
"Female","127"
"Male","182"
"63",""
"Female","141"
"Male","133"
"64",""
"Female","123"
"Male","138"
"65",""
"Female","307"
"Male","275"
"66",""
"Female","97"
"Male","111"
"67",""
"Female","95"
"Male","104"
"68",""
"Female","157"
"Male","140"
"69",""
"Female","73"
"Male","84"
"7",""
"Female","865"
"Male","820"
"70",""
"Female","212"
"Male","226"
"71",""
"Female","60"
"Male","66"
"72",""
"Female","77"
"Male","87"
"73",""
"Female","68"
"Male","70"
"74",""
"Female","50"
"Male","60"
"75",""
"Female","127"
"Male","106"
"76",""
"Female","48"
"Male","54"
"77",""
"Female","46"
"Male","43"
"78",""
"Female","61"
"Male","80"
"79",""
"Female","22"
"Male","41"
"8",""
"Female","845"
"Male","989"
"80",""
"Female","82"
"Male","82"
"81",""
"Female","38"
"Male","24"
"82",""
"Female","31"
"Male","38"
"83",""
"Female","35"
"Male","37"
"84",""
"Female","36"
"Male","30"
"85",""
"Female","182"
"Male","147"
"9",""
"Female","701"
"Male","836"
