"Population by Religion","Number"
"Bahai","0"
"Bon","6"
"Buddism","28841"
"Christianity","474"
"Hindu","10172"
"Islam","8"
"Jainism","1"
"Kirat","1"
"Prakriti","9"
"Sikhism","0"
"Undefined","130"
"Total","39642"
