"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","68"
"Cow Dung","13"
"Electricity Fuel","1"
"KeroseneFuel","30"
"LP Gas","112"
"Not Sated about Fuel","7"
"OthersFuel","7"
"Wood/FireWood","7300"
"Total","7538"
