"Population by Five Years Age Group","Number"
"0-4",""
"Female","1663"
"Male","1824"
"10-14",""
"Female","2808"
"Male","2897"
"15-19",""
"Female","2639"
"Male","2392"
"20-24",""
"Female","2310"
"Male","1285"
"25-29",""
"Female","2067"
"Male","1171"
"30-34",""
"Female","1762"
"Male","960"
"35-39",""
"Female","1653"
"Male","931"
"40-44",""
"Female","1521"
"Male","990"
"45-49",""
"Female","1281"
"Male","870"
"50-54",""
"Female","1282"
"Male","1008"
"55-59",""
"Female","1054"
"Male","880"
"5-9",""
"Female","2226"
"Male","2323"
"60-64",""
"Female","1016"
"Male","746"
"65-69",""
"Female","723"
"Male","693"
"70-74",""
"Female","525"
"Male","541"
"75+",""
"Female","769"
"Male","700"
