"Agricultural land use area","Hectare"
"Area under arable land","17835.99"
"Area under meadows and pasture","628.84"
"Area under permanent crops","6615.53"
"Area under Temporary crops","17164.87"
"Area under temporary fallow","502.93"
"Area under temporary meadows","168.19"
"Other land","1520.39"
"Ponds","4.86"
"Woodland and forest","2119.89"
