"Population by Five Years Age Group","Number"
"0-4",""
"Female","8554"
"Male","8700"
"10-14",""
"Female","13204"
"Male","13177"
"15-19",""
"Female","12639"
"Male","11369"
"20-24",""
"Female","9880"
"Male","6508"
"25-29",""
"Female","7749"
"Male","5480"
"30-34",""
"Female","6081"
"Male","4264"
"35-39",""
"Female","5618"
"Male","4087"
"40-44",""
"Female","5582"
"Male","4405"
"45-49",""
"Female","4922"
"Male","4403"
"50-54",""
"Female","4323"
"Male","4302"
"55-59",""
"Female","3212"
"Male","3283"
"5-9",""
"Female","11547"
"Male","11610"
"60-64",""
"Female","2819"
"Male","2748"
"65-69",""
"Female","2023"
"Male","2107"
"70-74",""
"Female","1510"
"Male","1606"
"75+",""
"Female","1968"
"Male","2137"
