"Number of Households by Type of Roof","Number"
"Galvanized Iron Plate","8261"
"Mud Roof","0"
"Not Sated Roof","79"
"Other Type of Roof","100"
"RCC Roof","2434"
"Thatch/Straw Roof","1960"
"Tile/Slate Roof","129"
"Wood/Planks Roof","57"
"Total","13020"
