"Number of households by type of outer wall","Number"
"BambooWall","7793"
"Cement Bonded Bricks/Stone Wall","4324"
"Mud Bonded Bricks/Stone Wall","405"
"Not Stated about Wall","70"
"Other Type Wall","23"
"Unbaked Bricks","25"
"Wood/Planks","380"
"Total","13020"
