"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","431"
"Cow Dung","5194"
"Electricity Fuel","3"
"KeroseneFuel","131"
"LP Gas","2869"
"Not Sated about Fuel","40"
"OthersFuel","60"
"Wood/FireWood","4292"
"Total","13020"
