"Number of households by type of outer wall","Number"
"BambooWall","208"
"Cement Bonded Bricks/Stone Wall","14682"
"Mud Bonded Bricks/Stone Wall","4593"
"Not stated","270"
"Others","54"
"Unbaked Bricks","266"
"Wood/Planks","85"
"Total","20158"
