"Population by Five Years Age Group","Number"
"0-4",""
"Female","2867"
"Male","3231"
"10-14",""
"Female","4096"
"Male","4474"
"15-19",""
"Female","4686"
"Male","5138"
"20-24",""
"Female","5832"
"Male","5487"
"25-29",""
"Female","4849"
"Male","4566"
"30-34",""
"Female","3571"
"Male","3634"
"35-39",""
"Female","2907"
"Male","2958"
"40-44",""
"Female","2132"
"Male","2472"
"45-49",""
"Female","1491"
"Male","1748"
"50-54",""
"Female","1241"
"Male","1373"
"55-59",""
"Female","813"
"Male","891"
"5-9",""
"Female","3360"
"Male","3763"
"60-64",""
"Female","730"
"Male","709"
"65-69",""
"Female","575"
"Male","525"
"70-74",""
"Female","433"
"Male","367"
"75+",""
"Female","617"
"Male","524"
