"Population by Single Year of Age","Number"
"0",""
"Female","661"
"Male","745"
"1",""
"Female","606"
"Male","638"
"10",""
"Female","1225"
"Male","1313"
"11",""
"Female","649"
"Male","685"
"12",""
"Female","1060"
"Male","1203"
"13",""
"Female","775"
"Male","791"
"14",""
"Female","873"
"Male","845"
"15",""
"Female","845"
"Male","836"
"16",""
"Female","840"
"Male","839"
"17",""
"Female","618"
"Male","570"
"18",""
"Female","868"
"Male","916"
"19",""
"Female","488"
"Male","371"
"2",""
"Female","704"
"Male","760"
"20",""
"Female","924"
"Male","816"
"21",""
"Female","408"
"Male","326"
"22",""
"Female","661"
"Male","661"
"23",""
"Female","495"
"Male","353"
"24",""
"Female","520"
"Male","375"
"25",""
"Female","885"
"Male","839"
"26",""
"Female","489"
"Male","387"
"27",""
"Female","402"
"Male","365"
"28",""
"Female","710"
"Male","616"
"29",""
"Female","243"
"Male","193"
"3",""
"Female","888"
"Male","865"
"30",""
"Female","1065"
"Male","916"
"31",""
"Female","174"
"Male","167"
"32",""
"Female","519"
"Male","460"
"33",""
"Female","292"
"Male","197"
"34",""
"Female","298"
"Male","193"
"35",""
"Female","831"
"Male","1019"
"36",""
"Female","256"
"Male","239"
"37",""
"Female","157"
"Male","173"
"38",""
"Female","464"
"Male","368"
"39",""
"Female","142"
"Male","121"
"4",""
"Female","889"
"Male","939"
"40",""
"Female","859"
"Male","931"
"41",""
"Female","117"
"Male","105"
"42",""
"Female","297"
"Male","304"
"43",""
"Female","185"
"Male","140"
"44",""
"Female","141"
"Male","88"
"45",""
"Female","592"
"Male","817"
"46",""
"Female","151"
"Male","115"
"47",""
"Female","103"
"Male","97"
"48",""
"Female","272"
"Male","216"
"49",""
"Female","86"
"Male","76"
"5",""
"Female","1009"
"Male","1083"
"50",""
"Female","569"
"Male","609"
"51",""
"Female","87"
"Male","77"
"52",""
"Female","159"
"Male","199"
"53",""
"Female","96"
"Male","83"
"54",""
"Female","106"
"Male","77"
"55",""
"Female","440"
"Male","499"
"56",""
"Female","112"
"Male","124"
"57",""
"Female","86"
"Male","77"
"58",""
"Female","217"
"Male","162"
"59",""
"Female","72"
"Male","71"
"6",""
"Female","952"
"Male","950"
"60",""
"Female","532"
"Male","588"
"61",""
"Female","68"
"Male","89"
"62",""
"Female","135"
"Male","133"
"63",""
"Female","81"
"Male","60"
"64",""
"Female","69"
"Male","64"
"65",""
"Female","357"
"Male","453"
"66",""
"Female","51"
"Male","50"
"67",""
"Female","48"
"Male","56"
"68",""
"Female","120"
"Male","120"
"69",""
"Female","25"
"Male","34"
"7",""
"Female","882"
"Male","862"
"70",""
"Female","289"
"Male","377"
"71",""
"Female","26"
"Male","41"
"72",""
"Female","55"
"Male","69"
"73",""
"Female","34"
"Male","26"
"74",""
"Female","17"
"Male","26"
"75",""
"Female","128"
"Male","190"
"76",""
"Female","25"
"Male","28"
"77",""
"Female","17"
"Male","24"
"78",""
"Female","30"
"Male","47"
"79",""
"Female","12"
"Male","20"
"8",""
"Female","1172"
"Male","1219"
"80",""
"Female","69"
"Male","89"
"81",""
"Female","5"
"Male","19"
"82",""
"Female","7"
"Male","15"
"83",""
"Female","6"
"Male","8"
"84",""
"Female","12"
"Male","14"
"85",""
"Female","71"
"Male","79"
"9",""
"Female","708"
"Male","679"
