"Population by Five Years Age Group","Number"
"0-4",""
"Female","3748"
"Male","3947"
"10-14",""
"Female","4582"
"Male","4837"
"15-19",""
"Female","3659"
"Male","3532"
"20-24",""
"Female","3008"
"Male","2531"
"25-29",""
"Female","2729"
"Male","2400"
"30-34",""
"Female","2348"
"Male","1933"
"35-39",""
"Female","1850"
"Male","1920"
"40-44",""
"Female","1599"
"Male","1568"
"45-49",""
"Female","1204"
"Male","1321"
"50-54",""
"Female","1017"
"Male","1045"
"55-59",""
"Female","927"
"Male","933"
"5-9",""
"Female","4723"
"Male","4793"
"60-64",""
"Female","885"
"Male","934"
"65-69",""
"Female","601"
"Male","713"
"70-74",""
"Female","421"
"Male","539"
"75+",""
"Female","382"
"Male","533"
